ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-31,1890.1237205999998,1844.4841715906239,1920.0032469909702,1890.1237205999998,1890.1237205999998,-8.674730876331598,-8.674730876331598,-8.674730876331598,-8.674730876331598,-8.674730876331598,-8.674730876331598,0.0,0.0,0.0,1881.4489897236683
2023-02-01,1889.2940042909588,1843.8740223701234,1917.2214674803283,1889.2940042909588,1889.2940042909588,-9.503886783956094,-9.503886783956094,-9.503886783956094,-9.503886783956094,-9.503886783956094,-9.503886783956094,0.0,0.0,0.0,1879.7901175070026
2023-02-02,1888.4642879819176,1838.684879294853,1917.8794565279227,1888.4642879819176,1888.4642879819176,-9.299036301010204,-9.299036301010204,-9.299036301010204,-9.299036301010204,-9.299036301010204,-9.299036301010204,0.0,0.0,0.0,1879.1652516809074
2023-02-03,1887.6345716728767,1841.12305946016,1916.4047556810842,1887.6345716728767,1887.6345716728767,-9.504995583285288,-9.504995583285288,-9.504995583285288,-9.504995583285288,-9.504995583285288,-9.504995583285288,0.0,0.0,0.0,1878.1295760895914
2023-02-06,1885.1454227457532,1834.2587379714932,1911.1870836158018,1885.1454227457532,1885.1454227457532,-12.472479573133887,-12.472479573133887,-12.472479573133887,-12.472479573133887,-12.472479573133887,-12.472479573133887,0.0,0.0,0.0,1872.6729431726194
2023-02-07,1884.3157064367122,1836.839098045924,1913.4670086131869,1884.3157064367122,1884.3157064367122,-8.6747308763771,-8.6747308763771,-8.6747308763771,-8.6747308763771,-8.6747308763771,-8.6747308763771,0.0,0.0,0.0,1875.6409755603352
2023-02-08,1883.4859901276711,1835.2438934736074,1911.0500216546225,1883.4859901276711,1883.4859901276711,-9.503886783960517,-9.503886783960517,-9.503886783960517,-9.503886783960517,-9.503886783960517,-9.503886783960517,0.0,0.0,0.0,1873.9821033437106
2023-02-09,1882.65627381863,1834.2286781667488,1910.7759213154388,1882.65627381863,1882.65627381863,-9.299036301022266,-9.299036301022266,-9.299036301022266,-9.299036301022266,-9.299036301022266,-9.299036301022266,0.0,0.0,0.0,1873.357237517608
2023-02-10,1881.8265575095888,1835.8031474806778,1913.2921960595665,1881.8265575095888,1881.8265575095888,-9.504995583291453,-9.504995583291453,-9.504995583291453,-9.504995583291453,-9.504995583291453,-9.504995583291453,0.0,0.0,0.0,1872.3215619262974
2023-02-13,1879.3374090014636,1829.889263020274,1902.0996066401458,1879.3374090014636,1879.3374090014636,-12.472479573157743,-12.472479573157743,-12.472479573157743,-12.472479573157743,-12.472479573157743,-12.472479573157743,0.0,0.0,0.0,1866.864929428306
2023-02-14,1878.5076928320884,1830.9724423848202,1907.4628564220068,1878.5076928320884,1878.5076928320884,-8.67473087634357,-8.67473087634357,-8.67473087634357,-8.67473087634357,-8.67473087634357,-8.67473087634357,0.0,0.0,0.0,1869.8329619557448
2023-02-15,1877.6779766627135,1832.4634182727177,1905.461882634791,1877.6779766627135,1877.6779766627135,-9.503886783954167,-9.503886783954167,-9.503886783954167,-9.503886783954167,-9.503886783954167,-9.503886783954167,0.0,0.0,0.0,1868.1740898787593
2023-02-16,1876.8482604933383,1831.3586634042183,1904.603278957258,1876.8482604933383,1876.8482604933383,-9.29903630101322,-9.29903630101322,-9.29903630101322,-9.29903630101322,-9.29903630101322,-9.29903630101322,0.0,0.0,0.0,1867.549224192325
2023-02-17,1876.0185443239632,1830.5860508301598,1904.4266856905924,1876.0185443239632,1876.0185443239632,-9.504995583264979,-9.504995583264979,-9.504995583264979,-9.504995583264979,-9.504995583264979,-9.504995583264979,0.0,0.0,0.0,1866.5135487406983
2023-02-21,1872.6996796464625,1828.1242961731598,1901.6574875044923,1872.6996796464625,1872.6996796464625,-8.674730876344233,-8.674730876344233,-8.674730876344233,-8.674730876344233,-8.674730876344233,-8.674730876344233,0.0,0.0,0.0,1864.0249487701183
2023-02-22,1871.8699634770874,1825.6364712786592,1900.0024617454503,1871.8699634770874,1871.8699634770874,-9.503886783958587,-9.503886783958587,-9.503886783958587,-9.503886783958587,-9.503886783958587,-9.503886783958587,0.0,0.0,0.0,1862.366076693129
2023-02-23,1871.0402473077122,1825.97083973127,1896.4424241445565,1871.0402473077122,1871.0402473077122,-9.299036300985318,-9.299036300985318,-9.299036300985318,-9.299036300985318,-9.299036300985318,-9.299036300985318,0.0,0.0,0.0,1861.7412110067269
2023-02-24,1873.012062337789,1827.213417244734,1900.771317198964,1873.012062337789,1873.012062337789,-9.50499558334339,-9.50499558334339,-9.50499558334339,-9.50499558334339,-9.50499558334339,-9.50499558334339,0.0,0.0,0.0,1863.5070667544458
2023-02-27,1878.92750742802,1828.4834702211317,1906.356322094249,1878.92750742802,1878.92750742802,-12.472479573179534,-12.472479573179534,-12.472479573179534,-12.472479573179534,-12.472479573179534,-12.472479573179534,0.0,0.0,0.0,1866.4550278548404
2023-02-28,1880.8993224580968,1837.1160135836956,1910.646158281223,1880.8993224580968,1880.8993224580968,-8.674730876378332,-8.674730876378332,-8.674730876378332,-8.674730876378332,-8.674730876378332,-8.674730876378332,0.0,0.0,0.0,1872.2245915817184
